Specie,Year,Abundance,Abundance_Type,Area,Large Area,Reference,Comment
Brown pelican,1970,2796,Nesting pairs,FromFlorida_TO_Maryland_andGulfCoast_to_Alabama,Atlantic coast,esasuccess.org,
Brown pelican,1971,3512,Nesting pairs,FromFlorida_TO_Maryland_andGulfCoast_to_Alabama,Atlantic coast,esasuccess.org,
Brown pelican,1973,3748,Nesting pairs,FromFlorida_TO_Maryland_andGulfCoast_to_Alabama,Atlantic coast,esasuccess.org,
Brown pelican,1973,3397,Nesting pairs,FromFlorida_TO_Maryland_andGulfCoast_to_Alabama,Atlantic coast,esasuccess.org,
Brown pelican,1974,3398,Nesting pairs,FromFlorida_TO_Maryland_andGulfCoast_to_Alabama,Atlantic coast,esasuccess.org,
Brown pelican,1975,4338,Nesting pairs,FromFlorida_TO_Maryland_andGulfCoast_to_Alabama,Atlantic coast,esasuccess.org,
Brown pelican,1976,4222,Nesting pairs,FromFlorida_TO_Maryland_andGulfCoast_to_Alabama,Atlantic coast,esasuccess.org,
Brown pelican,1977,5661,Nesting pairs,FromFlorida_TO_Maryland_andGulfCoast_to_Alabama,Atlantic coast,esasuccess.org,
Brown pelican,1979,7542,Nesting pairs,FromFlorida_TO_Maryland_andGulfCoast_to_Alabama,Atlantic coast,esasuccess.org,
Brown pelican,1978,8010,Nesting pairs,FromFlorida_TO_Maryland_andGulfCoast_to_Alabama,Atlantic coast,esasuccess.org,
Brown pelican,1980,9039,Nesting pairs,FromFlorida_TO_Maryland_andGulfCoast_to_Alabama,Atlantic coast,esasuccess.org,
Brown pelican,1981,8835,Nesting pairs,FromFlorida_TO_Maryland_andGulfCoast_to_Alabama,Atlantic coast,esasuccess.org,
Brown pelican,1983,8544,Nesting pairs,FromFlorida_TO_Maryland_andGulfCoast_to_Alabama,Atlantic coast,esasuccess.org,
Brown pelican,1985,10365,Nesting pairs,FromFlorida_TO_Maryland_andGulfCoast_to_Alabama,Atlantic coast,esasuccess.org,
Brown pelican,1989,13906,Nesting pairs,FromFlorida_TO_Maryland_andGulfCoast_to_Alabama,Atlantic coast,esasuccess.org,
Brown pelican,1991,13937,Nesting pairs,FromFlorida_TO_Maryland_andGulfCoast_to_Alabama,Atlantic coast,esasuccess.org,
Brown pelican,1993,12281,Nesting pairs,FromFlorida_TO_Maryland_andGulfCoast_to_Alabama,Atlantic coast,esasuccess.org,
Brown pelican,1995,11725,Nesting pairs,FromFlorida_TO_Maryland_andGulfCoast_to_Alabama,Atlantic coast,esasuccess.org,
Brown pelican,1999,15670,Nesting pairs,FromFlorida_TO_Maryland_andGulfCoast_to_Alabama,Atlantic coast,esasuccess.org,
Dolphinfish,1987,0.53,StandarizedCPUE,Gulf of Mexico,Gulf of Mexico,Kleisner2008,
Dolphinfish,1988,0.6,StandarizedCPUE,Gulf of Mexico,Gulf of Mexico,Kleisner2008,
Dolphinfish,1989,1.5,StandarizedCPUE,Gulf of Mexico,Gulf of Mexico,Kleisner2008,
Dolphinfish,1990,2.33,StandarizedCPUE,Gulf of Mexico,Gulf of Mexico,Kleisner2008,
Dolphinfish,1991,2.03,StandarizedCPUE,Gulf of Mexico,Gulf of Mexico,Kleisner2008,
Dolphinfish,1992,1.52,StandarizedCPUE,Gulf of Mexico,Gulf of Mexico,Kleisner2008,
Dolphinfish,1993,0.99,StandarizedCPUE,Gulf of Mexico,Gulf of Mexico,Kleisner2008,
Dolphinfish,1994,0.8,StandarizedCPUE,Gulf of Mexico,Gulf of Mexico,Kleisner2008,
Dolphinfish,1995,1.65,StandarizedCPUE,Gulf of Mexico,Gulf of Mexico,Kleisner2008,
Dolphinfish,1996,1.17,StandarizedCPUE,Gulf of Mexico,Gulf of Mexico,Kleisner2008,
