Specie,Year,Abundance,Abundance_Type,Area,Large Area,Reference
Brandt Cormoran,1971,20018,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1972,21917,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1973,14253,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1974,23697,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1975,15022,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1976,14248,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1977,21613,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1978,6760,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1979,18759,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1980,15490,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1981,17984,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1982,14299,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1983,4199,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1984,4435,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1985,8236,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1986,6333,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1987,8352,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1988,5023,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1989,11022,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1990,6446,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1991,10128,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1992,2998,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1993,4601,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1994,11728,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1995,10598,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1996,8042,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1997,7446,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1998,5128,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
Brandt Cormoran,1999,6315,Breeding Adults,South Farallon Island,CA,Elliot et al 2015
