FF Common,FF Scientific,Predator Common,Predator Scientific,Season,Year,Abundance,Unit,Source,Study Location,Country,size of FF eaten (mm),age of FF eaten,% FF in diet,% Units,Notes
,,arctic skua,Stercorarius parasiticus,,2006,79,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic skua,Stercorarius parasiticus,,2007,71,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic skua,Stercorarius parasiticus,,2008,41,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic skua,Stercorarius parasiticus,,2009,63,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,1969,262,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,1970,500,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,1971,916,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,1972,1000,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,1973,750,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,1974,1700,occupied territory,JNCC Data,Foula,North Sea,,,,,
sandeel,Ammodytes marinus,arctic tern,Sterna paradisaea,Jun-Jul,1975,6000,occupied territory,JNCC Data; diet=Furness 1990 Table 3,Foula,North Sea,30-80 ,,100.00,by mass,
sandeel,Ammodytes marinus,arctic tern,Sterna paradisaea,Jun-Jul,1976,5650,occupied territory,JNCC Data; diet=Furness 1990 Table 3,Foula,North Sea,30-80 ,,100.00,by mass,
sandeel,Ammodytes marinus,arctic tern,Sterna paradisaea,Jun-Jul,1977,3000,occupied territory,JNCC Data; diet=Furness 1990 Table 3,Foula,North Sea,30-80 ,,100.00,by mass,
sandeel,Ammodytes marinus,arctic tern,Sterna paradisaea,Jun-Jul,1978,2000,occupied territory,JNCC Data; diet=Furness 1990 Table 3,Foula,North Sea,30-80,,100.00,by mass,
sandeel,Ammodytes marinus,arctic tern,Sterna paradisaea,Jun-Jul,1979,4450,occupied territory,JNCC Data; diet=Furness 1990 Table 3,Foula,North Sea,30-80,,100.00,by mass,
sandeel,Ammodytes marinus,arctic tern,Sterna paradisaea,Jun-Jul,1980,4200,occupied territory,JNCC Data; diet=Furness 1990 Table 3,Foula,North Sea,30-80,,100.00,by mass,
sandeel,Ammodytes marinus,arctic tern,Sterna paradisaea,Jun-Jul,1981,1900,occupied territory,JNCC Data; diet=Furness 1990 Table 3,Foula,North Sea,30-80,,100.00,by mass,
sandeel,Ammodytes marinus,arctic tern,Sterna paradisaea,Jun-Jul,1982,1259,occupied territory,JNCC Data; diet=Furness 1990 Table 3,Foula,North Sea,30-80,,100.00,by mass,
sandeel,Ammodytes marinus,arctic tern,Sterna paradisaea,Jun-Jul,1983,1150,occupied territory,JNCC Data; diet=Furness 1990 Table 3,Foula,North Sea,30-80,,100.00,by mass,
,,arctic tern,Sterna paradisaea,,1984,274,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,1986,643,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,1987,300,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,1988,300,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,1989,300,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,1990,115,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,1991,1010,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,1992,1500,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,1993,1500,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,1994,1000,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,1995,1000,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,1996,505,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,1997,1000,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,1998,750,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,1999,750,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,2000,952,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,2001,800,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,2002,400,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,2003,50,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,2004,0,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,2005,107,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,2006,79,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,arctic tern,Sterna paradisaea,,2007,95,occupied territory,JNCC Data,Foula,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1987,4350,occupied nests,JNCC Data,Foula,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1992,4306,occupied nests,JNCC Data,Foula,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1996,2775,occupied nests,JNCC Data,Foula,North Sea,,,,,
,,black leg kittiwake,Rissa tridactyla,,1997,2359,occupied nests,JNCC Data,Foula,North Sea,,,,,
