sort_cmf,sort_orig,ecoregion,country,island group,location,pred_common,pred_scientific,predator stage,stage units,stocklong,season,source,year_orig,year,n,n_units,ff_common,ff_scientific,ff_eaten_mm,ff_eaten_yr,ff_diet_perc,ff_diet_perc_units,notes
,,Celtic Sea,,,,European hake,Merluccius merluccius,,,,,Du Buit 1996 Figure 4,1983-1985,1984,,,European sprat,Sprattus sprattus,90-160,,,,
,,North Sea,,,,whiting,Merluccius merluccius,,,,Jan-Mar,Daan 1989 Table 8C1,1981,,,,sandeel,Ammodytidae,,,7.17,by weight,percents are averaged across age classes of the predator
,,North Sea,,,,whiting,Merluccius merluccius,,,,Jan-Mar,Daan 1989 Table 8C1,1981,,,,sprat,Sprattus sprattus,,,16.54,by weight,percents are averaged across age classes of the predator
,,North Sea,,,,whiting,Merluccius merluccius,,,,Jan-Mar,Daan 1989 Table 8C1,1981,,,,norway pout,Trisopterus esmarki,,,21.04,by weight,percents are averaged across age classes of the predator
,,North Sea,,,,whiting,Merluccius merluccius,,,,Apr-Jun,Daan 1989 Table 8C2,1981,,,,sandeel,Ammodytidae,,,46.76,by weight,percents are averaged across age classes of the predator
,,North Sea,,,,whiting,Merluccius merluccius,,,,Apr-Jun,Daan 1989 Table 8C2,1981,,,,sprat,Sprattus sprattus,,,3.16,by weight,percents are averaged across age classes of the predator
,,North Sea,,,,whiting,Merluccius merluccius,,,,Apr-Jun,Daan 1989 Table 8C2,1981,,,,norway pout,Trisopterus esmarki,,,15.76,by weight,percents are averaged across age classes of the predator
,,North Sea,,,,whiting,Merluccius merluccius,,,,Jul-Sep,Daan 1989 Table 8C3,1981,,,,sandeel,Ammodytidae,,,14.67,by weight,percents are averaged across age classes of the predator
,,North Sea,,,,whiting,Merluccius merluccius,,,,Jul-Sep,Daan 1989 Table 8C3,1981,,,,sprat,Sprattus sprattus,,,21.12,by weight,percents are averaged across age classes of the predator
,,North Sea,,,,whiting,Merluccius merluccius,,,,Jul-Sep,Daan 1989 Table 8C3,1981,,,,norway pout,Trisopterus esmarki,,,7.67,by weight,percents are averaged across age classes of the predator
,,North Sea,,,,whiting,Merluccius merluccius,,,,Oct-Dec,Daan 1989 Table 8C4,1981,,,,sandeel,Ammodytidae,,,14.21,by weight,percents are averaged across age classes of the predator
,,North Sea,,,,whiting,Merluccius merluccius,,,,Oct-Dec,Daan 1989 Table 8C4,1981,,,,sprat,Sprattus sprattus,,,9.53,by weight,percents are averaged across age classes of the predator
,,North Sea,,,,whiting,Merluccius merluccius,,,,Oct-Dec,Daan 1989 Table 8C4,1981,,,,norway pout,Trisopterus esmarki,,,25.43,by weight,percents are averaged across age classes of the predator
,,North Sea,,,,mackerel,Scomber scombrus,3-7,age,,Jan-Mar,Daan 1989 Table 8D1,1980-1983,,,,sandeel,Ammodytidae,,,12.20,by weight,
,,North Sea,,,,mackerel,Scomber scombrus,,,,Apr-Jun,Daan 1989 Table 8D2,1980-1983,,,,sandeel,Ammodytidae,,,48.63,by weight,percents are averaged across age classes of the predator
,,North Sea,,,,mackerel,Scomber scombrus,,,,Apr-Jun,Daan 1989 Table 8D2,1980-1983,,,,sprat,Sprattus sprattus,,,1.67,by weight,percents are averaged across age classes of the predator
,,North Sea,,,,mackerel,Scomber scombrus,,,,Apr-Jun,Daan 1989 Table 8D2,1980-1983,,,,norway pout,Trisopterus esmarki,,,0.07,by weight,percents are averaged across age classes of the predator
,,North Sea,,,,mackerel,Scomber scombrus,,,,Jul-Sep,Daan 1989 Table 8D3,1980-1983,,,,sandeel,Ammodytidae,,,13.83,by weight,percents are averaged across age classes of the predator
