sort_cmf,sort_orig,ecoregion,country,island group,location,pred_common,pred_scientific,category of predator,unit of category of predator,stocklong,season,source,year_orig,year,n,n_units,ff_common,ff_scientific,ff_eaten_mm,ff_eaten_yr,ff_diet_perc,ff_diet_perc_units,notes
,,North Sea,Shetland,Burravoe,,European shag,Phalacrocorax aristotelis,,,,,Dunnet and Heubeck 1995 Table 4,1978,1978,43,max number of nests,,,,,,,
,,North Sea,Shetland,Burravoe,,European shag,Phalacrocorax aristotelis,,,,,Dunnet and Heubeck 1995 Table 4,1979,1979,41,max number of nests,,,,,,,
,,North Sea,Shetland,Burravoe,,European shag,Phalacrocorax aristotelis,,,,,Dunnet and Heubeck 1995 Table 4,1980,1980,31,max number of nests,,,,,,,
,,North Sea,Shetland,Burravoe,,European shag,Phalacrocorax aristotelis,,,,,Dunnet and Heubeck 1995 Table 4,1981,1981,27,max number of nests,,,,,,,
,,North Sea,Shetland,Burravoe,,European shag,Phalacrocorax aristotelis,,,,,Dunnet and Heubeck 1995 Table 4,1982,1982,27,max number of nests,,,,,,,
,,North Sea,Shetland,Burravoe,,European shag,Phalacrocorax aristotelis,,,,,Dunnet and Heubeck 1995 Table 4,1983,1983,25,max number of nests,,,,,,,
,,North Sea,Shetland,Burravoe,,European shag,Phalacrocorax aristotelis,,,,,Dunnet and Heubeck 1995 Table 4,1984,1984,25,max number of nests,,,,,,,
,,North Sea,Shetland,Burravoe,,European shag,Phalacrocorax aristotelis,,,,,Dunnet and Heubeck 1995 Table 4,1985,1985,26,max number of nests,,,,,,,
,,North Sea,Shetland,Burravoe,,European shag,Phalacrocorax aristotelis,,,,,Dunnet and Heubeck 1995 Table 4,1986,1986,28,max number of nests,,,,,,,
,,North Sea,Shetland,Burravoe,,European shag,Phalacrocorax aristotelis,,,,,Dunnet and Heubeck 1995 Table 4,1987,1987,23,max number of nests,,,,,,,
,,North Sea,Shetland,Foula,,Arctic skua,Stercorarius parasiticus,,,,,JNCC Data,2006,2006,79,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic skua,Stercorarius parasiticus,,,,,JNCC Data,2007,2007,71,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic skua,Stercorarius parasiticus,,,,,JNCC Data,2008,2008,41,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic skua,Stercorarius parasiticus,,,,,JNCC Data,2009,2009,63,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1969,1969,262,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1970,1970,500,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1971,1971,916,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1972,1972,1000,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1973,1973,750,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1974,1974,1700,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1975,1975,6000,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1976,1976,5650,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1977,1977,3000,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1978,1978,2000,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1979,1979,4450,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1980,1980,4200,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1981,1981,1900,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1982,1982,1259,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1983,1983,1150,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1984,1984,274,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1986,1986,643,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1987,1987,300,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1988,1988,300,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1989,1989,300,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1990,1990,115,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1991,1991,1010,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1992,1992,1500,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1993,1993,1500,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1994,1994,1000,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1995,1995,1000,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1996,1996,505,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1997,1997,1000,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1998,1998,750,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,1999,1999,750,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,2000,2000,952,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,2001,2001,800,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,2002,2002,400,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,2003,2003,50,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,2004,2004,0,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,2005,2005,107,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,2006,2006,79,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Arctic tern,Sterna paradisaea,,,,,JNCC Data,2007,2007,95,occupied territory,,,,,,,
,,North Sea,Shetland,Foula,,Black-legged kittiwake,Rissa tridactyla,,,,,JNCC Data,1987,1987,4350,occupied nests,,,,,,,
,,North Sea,Shetland,Foula,,Black-legged kittiwake,Rissa tridactyla,,,,,JNCC Data,1992,1992,4306,occupied nests,,,,,,,
