"diet_id","pred_comm","region","prey_comm","nrefs","references","prop_wt","prop_n","prop_occur","prop_model","prop_unk","prop_use","prop_use_type"
"Arctic skua Europe","Arctic skua","Europe","Lesser sand-eel",1,"Furness (1983, 1989) in Furness 1990",1,NA,NA,NA,NA,1,"weight"
"Arctic skua Europe","Arctic skua","Europe","Lesser sand-eel",1,"Furness and Tasker 2000 Table 2",NA,NA,NA,NA,0.9,0.9,"unknown"
"Arctic tern Europe","Arctic tern","Europe","Lesser sand-eel",1,"Furness (1983, 1989) in Furness 1990; Ewins 1985a in Furness 1990",1,NA,NA,NA,NA,1,"weight"
"Arctic tern Europe","Arctic tern","Europe","Lesser sand-eel",1,"Furness and Tasker 2000 Table 2",NA,NA,NA,NA,0.75,0.75,"unknown"
"Atlantic cod Europe","Atlantic cod","Europe","Capelin",1,"Blanchard et al 2002 Table 8",NA,NA,NA,NA,0.13955,0.13955,"unknown"
"Atlantic mackerel Europe","Atlantic mackerel","Europe","European sprat",3,"Daan 1989 Table 8D2, Daan 1989 Table 8D3, Daan 1989 Table 8D4",0.0264666666666667,NA,NA,NA,NA,0.0264666666666667,"weight"
"Atlantic mackerel Europe","Atlantic mackerel","Europe","Norway pout",3,"Daan 1989 Table 8D2, Daan 1989 Table 8D3, Daan 1989 Table 8D4",0.0630333333333333,NA,NA,NA,NA,0.0630333333333333,"weight"
"Atlantic mackerel Europe","Atlantic mackerel","Europe","Sandeel spp.",4,"Daan 1989 Table 8D1, Daan 1989 Table 8D2, Daan 1989 Table 8D3, Daan 1989 Table 8D4",0.1899,NA,NA,NA,NA,0.1899,"weight"
"Atlantic puffin Europe","Atlantic puffin","Europe","Atlantic herring (spring spawning)",1,"Anker-Nilssen 2010 Figure 3",NA,NA,0.6192,NA,NA,0.6192,"occurence"
"Atlantic puffin Europe","Atlantic puffin","Europe","Atlantic herring (spring spawning)",1,"Anker-Nilssen and Aarvak 2006 Tabell 3.4",NA,NA,NA,NA,NA,NA,"none"
"Atlantic puffin Europe","Atlantic puffin","Europe","Atlantic herring (spring spawning)",2,"Anker-Nilssen and Aarvak 2006 Tabell 3.2, Anker-Nilssen and Aarvak 2006 Tabell 3.2 (%) and Tabell 3.4 (size)",0.442,NA,NA,NA,NA,0.442,"weight"
"Atlantic puffin Europe","Atlantic puffin","Europe","Blue whiting",2,"Anker-Nilssen and Aarvak 2006 Tabell 3.2, Anker-Nilssen and Aarvak 2006 Tabell 3.2 (%) and Tabell 3.4 (size)",0.0416666666666667,NA,NA,NA,NA,0.0416666666666667,"weight"
"Atlantic puffin Europe","Atlantic puffin","Europe","Lesser sand-eel",1,"Furness and Tasker 2000 Table 2",NA,NA,NA,NA,0.725,0.725,"unknown"
"Atlantic puffin Europe","Atlantic puffin","Europe","Lesser sand-eel",3,"Furness (1983, 1989) in Furness 1990, Heubeck ed 1989 pdf page 34, Martin 1989 in Furness 1990",0.818461538461538,NA,NA,NA,NA,0.818461538461538,"weight"
"Atlantic puffin Europe","Atlantic puffin","Europe","Sandeel spp.",1,"Anker-Nilssen 2010 Figure 3",NA,NA,0.0409,NA,NA,0.0409,"occurence"
"Atlantic puffin Europe","Atlantic puffin","Europe","Sandeel spp.",1,"Anker-Nilssen and Aarvak 2006 Tabell 3.4",NA,NA,NA,NA,NA,NA,"none"
