"comm_name","species","island","reference","year","abundance","units"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1975,2294,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1976,2162,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1977,2515,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1978,2815,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1979,3639,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1980,3391,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1981,3131,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1982,2732,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1983,NA,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1984,2929,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1985,2891,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1986,2726,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1987,2594,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1988,2507,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1989,2395,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1990,2556,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1991,2003,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1992,2847,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1993,2521,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1994,2649,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1995,2281,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1996,2043,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1997,2388,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1998,2177,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",1999,1972,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",2000,2165,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",2001,2423,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",2002,2139,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",2003,1867,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",2004,1636,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",2005,1528,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",2006,1350,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",2007,1285,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",2008,1424,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",2009,1691,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",2010,1835,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",2011,1926,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",2012,1892,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",2013,1855,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",2014,1962,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",2015,1652,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. George","Towell et al 2016 Figure 2",2016,1467,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1975,8505,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1976,9377,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1977,10269,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1978,10326,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1979,10667,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1980,9735,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1981,9145,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1982,9753,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1983,9049,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1984,8782,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1985,7756,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1986,6445,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1987,5495,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1988,6709,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1989,10676,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1990,12081,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1991,14244,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1992,16427,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1993,15685,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1994,15532,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1995,13614,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1996,14847,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1997,13631,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1998,13156,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",1999,11541,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",2000,10572,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",2001,10552,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",2002,11481,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",2003,11214,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",2004,8327,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",2005,9352,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",2006,9920,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",2007,8762,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",2008,8817,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",2009,9272,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",2010,8778,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",2011,8948,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",2012,6934,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",2013,7769,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",2014,6857,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",2015,7007,"# of males (harem males + idle males)"
"Northern fur seal","Callorhinus ursinus","St. Paul","Towell et al 2016 Figure 2",2016,5962,"# of males (harem males + idle males)"
