"","stocklong","stocklong_orig","stockid","ocean","region","area","species","comm_name","nyr","n_units","reference","r","k"
"1","Albacore tuna Northern Atlantic","Albacore tuna North Atlantic RAM NA","ALBANATL","NW Atlantic","Atlantic Ocean","Northern Atlantic","Thunnus alalunga","Albacore tuna",58,"ram","RAM",1.30059332740041,129888.283305059
"2","Atlantic bluefin tuna Western Atlantic","Bluefin tuna Western Atlantic RAM NA","ATBTUNAWATL","NW Atlantic","Atlantic Ocean","Western Atlantic","Thunnus thynnus","Atlantic bluefin tuna",40,"ram","RAM",0.109190247417965,88189.7121153367
"3","Atlantic cod Georges Bank","Atlantic cod Georges Bank RAM NA","CODGB","NW Atlantic","US East Coast","Georges Bank","Gadus morhua","Atlantic cod",34,"ram","RAM",0.343785479668392,1919636.79218269
"4","Bigeye tuna Atlantic Ocean","Bigeye tuna Atlantic RAM NA","BIGEYEATL","NW Atlantic","Atlantic Ocean","Atlantic Ocean","Thunnus obesus","Bigeye tuna",61,"ram","RAM",0.426395321078707,861362.703997607
"5","Bluefish Atlantic Coast","Bluefish Atlantic Coast RAM NA","BLUEFISHATLC","NW Atlantic","US East Coast","Atlantic Coast","Pomatomus saltatrix","Bluefish",26,"ram","RAM",0.155447393717766,381651.442933314
"6","Dusky shark Northwest Atlantic & GOM [cpue (standardized, lps)]","Dusky shark StandardizedCPUE_LPS North West Atlantic_and_GOM",NA,"NW Atlantic","NW Atlantic Coast & Gulf of Maine","Northwest Atlantic & GOM","Carcharhinus obscurus","Dusky shark",21,"cpue (standardized, lps)","Morgan 2008",NA,NA
"7","Dusky shark Northwest Atlantic & GOM [cpue (standardized, vims)]","Dusky shark StandardizedCPUE_VIMS North West Atlantic_and_GOM",NA,"NW Atlantic","NW Atlantic Coast & Gulf of Maine","Northwest Atlantic & GOM","Carcharhinus obscurus","Dusky shark",30,"cpue (standardized, vims)","Morgan 2008",NA,NA
"8","Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ",NA,"NW Atlantic","NW Atlantic","Sable Islands","Halichoerus grypus","Grey seal",29,"pup production","Bowen et al. 2003",0.135206717257102,75157.6906408287
"9","Offshore hake Northwest Atlantic Coast [abundance]","Offshore hake Abundance Northwest Atlantic Coast",NA,"NW Atlantic","Northwest Atlantic Coast","Northwest Atlantic Coast","Merluccius albidus","Offshore hake",40,"abundance","Offshore Hake Assessment 2010",NA,NA
"10","Offshore hake Northwest Atlantic Coast [recruitment index (# less than 30 cm / tow)]","Offshore hake Recruitment index_Nless30cm_per_tow Northwest Atlantic Coast",NA,"NW Atlantic","Northwest Atlantic Coast","Northwest Atlantic Coast","Merluccius albidus","Offshore hake",43,"recruitment index (# less than 30 cm / tow)","Offshore Hake Assessment 2010",0.034124856261352,0.0618938708190734
"11","Pollock Gulf of Maine / Georges Bank","Pollock NAFO-5YZ RAM NA","POLL5YZ","NW Atlantic","US East Coast","Gulf of Maine / Georges Bank","Pollachius virens","Pollock",40,"ram","RAM",0.175874468977853,287111.661109745
"12","Pollock NAFO-4VWX5","Pollock NAFO-4VWX5 RAM NA",NA,"NW Atlantic","Canada East Coast","NAFO-4VWX5","Pollachius virens","Pollock",35,"ram","RAM",1.13762184520202,137683.628365656
"13","Striped bass Gulf of Maine / Cape Hatteras","Striped bass Gulf of Maine / Cape Hatteras RAM NA","STRIPEDBASSGOMCHATT","NW Atlantic","US East Coast","Gulf of Maine / Cape Hatteras","Morone saxatilis","Striped bass",31,"ram","RAM",0.39745366421812,131188.246761816
"14","Summer flounder Mid-Atlantic Coast","Summer flounder Mid-Atlantic Coast RAM NA","SFLOUNMATLC","NW Atlantic","US East Coast","Mid-Atlantic Coast","Paralichthys dentatus","Summer flounder",31,"ram","RAM",0.432820247385315,120256.154100859
"15","Swordfish Northern Atlantic","Swordfish North Atlantic RAM NA","SWORDNATL","NW Atlantic","Atlantic Ocean","Northern Atlantic","Xiphias gladius","Swordfish",60,"ram","RAM",0.444634720615387,124112.707293012
"16","Weakfish Atlantic Coast","Weakfish Atlantic Coast RAM NA","WEAKFISHATLC","NW Atlantic","US East Coast","Atlantic Coast","Cynoscion regalis","Weakfish",28,"ram","RAM",0.560303336224325,57227.9907221931
"17","White hake Gulf of Maine / Georges Bank","White hake Georges Bank / Gulf of Maine RAM NA","WHAKEGBGOM","NW Atlantic","US East Coast","Gulf of Maine / Georges Bank","Urophycis tenuis","White hake",45,"ram","RAM",0.298202669724271,96599.3404067307
