"stocklong","stocklong_orig","stockid","ocean","region","area","species","comm_name","nyr","n_units","reference","b0","r","betaT","sigmaP","ln_b0","ln_r","ln_sigmaP","b0_se","r_se","betaT_se","sigmaP_se","ln_b0_se","ln_r_se","ln_sigmaP_se","betaT_min","betaT_max"
"Albacore tuna North Pacific Ocean","Albacore tuna North Pacific RAM NA","ALBANPAC","NE Pacific","US West Coast","North Pacific Ocean","Thunnus alalunga","Albacore tuna",45,"ram","RAM",0.425973023756558,0.657449490316749,-0.0448154336226296,0.196346635372706,-0.85337925923297,-0.419387338692115,-1.62787363397096,0.139703476702515,0.399049142123391,0.0830574448564128,0.0272287932349069,0.327963201684702,0.606965474916005,0.13867715727963,-0.127872878479042,0.0382420112337832
"Albacore tuna Northern Atlantic","Albacore tuna North Atlantic RAM NA","ALBANATL","NW Atlantic","Atlantic Ocean","Northern Atlantic","Thunnus alalunga","Albacore tuna",58,"ram","RAM",0.610654023341166,0.751024274342131,-0.0448154336149782,0.362575730075561,-0.49322472676615,-0.286317305047784,-1.01452191595291,0.122558536893455,0.453112347835005,0.0830574448566557,0.0453222231177448,0.200700449368828,0.603325835548942,0.125000708426622,-0.127872878471634,0.0382420112416775
"Arrowtooth flounder Pacific Coast","Arrowtooth flounder Pacific Coast RAM NA","ARFLOUNDPCOAST","NE Pacific","US West Coast","Pacific Coast","Atheresthes stomias","Arrowtooth flounder",92,"ram","RAM",7.45568857126409,0.137044835466074,-0.0448154336922583,0.0374515798527046,2.00897730763542,-1.98744714051819,-3.28470638425571,28.0488267813228,0.0568305534528859,0.0830574448574251,0.00540699955389019,3.76207060061888,0.414685845399513,0.144373069845269,-0.127872878549683,0.0382420111651667
"Atlantic bluefin tuna Western Atlantic","Bluefin tuna Western Atlantic RAM NA","ATBTUNAWATL","NW Atlantic","Atlantic Ocean","Western Atlantic","Thunnus thynnus","Atlantic bluefin tuna",40,"ram","RAM",0.620924249968784,0.417270168769467,-0.0448154335954388,0.132678370229187,-0.476546185215508,-0.874021380234009,-2.01982734844883,0.0663984305991267,0.146022529295039,0.0830574448538912,0.0158580950672093,0.106934832392945,0.349947205010271,0.119522835861009,-0.12787287844933,0.0382420112584523
"Atlantic cod Georges Bank","Atlantic cod Georges Bank RAM NA","CODGB","NW Atlantic","US East Coast","Georges Bank","Gadus morhua","Atlantic cod",34,"ram","RAM",0.0000000174102844382639,0.000000000292662054956012,-0.0448154335200271,0.0467784883169616,-17.8662047456626,-21.9520025686392,-3.06233183307757,0.000264729526241238,0.00000445003004079647,0.083057444868677,0.00427055855281074,15205.3533174577,15205.3536337853,0.0912932141773008,-0.127872878388704,0.0382420113486499
"Black rockfish Northern Pacific Coast","Black rockfish Northern Pacific Coast RAM NA","BLACKROCKNPCOAST","NE Pacific","US West Coast","Northern Pacific Coast","Sebastes melanops","Black rockfish",92,"ram","RAM",0.633799600482948,0.517641595530682,-0.0448154336382091,0.182416863631337,-0.456022462077443,-0.658472176716205,-1.70146075149635,0.0707352788983895,0.20567403774169,0.083057444855881,0.0214986690275367,0.111605117523725,0.397329039083179,0.117854613874874,-0.12787287849409,0.0382420112176719
"Bluefish Atlantic Coast","Bluefish Atlantic Coast RAM NA","BLUEFISHATLC","NW Atlantic","US East Coast","Atlantic Coast","Pomatomus saltatrix","Bluefish",26,"ram","RAM",0.0309559276839631,0.031632797736001,-0.0448154335429536,0.256075791406234,-3.47519077366778,-3.45356079360022,-1.36228181813914,0.321513896232639,0.341403958931879,0.0830574448613919,0.0293754555422522,10.3861819136889,10.7927209531432,0.114713910990717,-0.127872878404345,0.0382420113184382
"Brandt cormorant South Farallon Island [breeding adults]","Brandt Cormoran Breeding Adults South Farallon Island",NA,"NE Pacific","California","South Farallon Island","Phalacrocorax penicillatus","Brandt cormorant",42,"breeding adults","Elliot et al. 2015",2.29194275383279,0.135808434810025,-0.044815434211683,0.020198474055272,0.829399822027829,-1.99650995378328,-3.90214821924662,0.807355096996158,0.0272097000283124,0.0830574447438516,0.00216538969686804,0.352257967894717,0.200353535230522,0.107205608252513,-0.127872878955535,0.0382420105321685
"California gull Lake Mono [breeding adults]","California Gulls Breeding Adults Lake Mono",NA,"NE Pacific","California","Lake Mono","Larus californicus","California gull",21,"breeding adults","Wrege et al. 2006",1.4126740239556,1.3124685488548,-0.0448154331419269,0.127900805000265,0.345484379250041,0.271909752419236,-2.0565002764354,0.124875144686966,0.155617139931246,0.0830574448034257,0.0147245494042808,0.0883962914086191,0.118568281172932,0.115124759412189,-0.127872877945353,0.0382420116614988
"California sea lion Southern SCB [pups]","California Sea Lion Pups Southern SCB",NA,"NE Pacific","California","Southern SCB","Zalophus californianus","California sea lion",33,"pups","NOAA 2011",2.73594920578016,0.0926672156792558,-0.0448154332091528,0.043114792488488,1.00647843444914,-2.37874052938087,-3.14388912756663,4.45588995986427,0.0691603456855266,0.0830574449071517,0.00477289687174545,1.62864498743267,0.74633024396576,0.110702072218482,-0.127872878116304,0.0382420116979989
"Common thresher shark West Coast US [cpue]","Thresher Shark CPUE West Coast US",NA,"NE Pacific","US West Coast","West Coast US","Alopias vulpinus","Common thresher shark",24,"cpue","NMFS unpublished",1.01294362503228,0.129833905569679,-0.0448154339707833,0.0108060725574736,0.0128605722196997,-2.04149929488051,-4.52764702902852,0.0212990243406298,0.0111681012391285,0.0830574448017637,0.00103204876740262,0.021026860542166,0.0860183723976079,0.0955063703221984,-0.127872878772547,0.0382420108309804
"Cutthroat trout Nestucca River [abundance index]","Cutthroat trout Index of abundance Nestucca River",NA,"NE Pacific","Oregon","Nestucca River","Oncorhynchus clarkii","Cutthroat trout",33,"abundance index","OR Native Fish Status Report Vol II",0.548770531732297,0.553961351563232,-0.0448154336303811,0.20335953890922,-0.600074899835207,-0.590660357189614,-1.59277973890578,0.0738739822437888,0.203973087733975,0.0830574448585843,0.0224576790729405,0.134617254338697,0.368208155963191,0.110433369358521,-0.127872878488965,0.0382420112282032
"Cutthroat trout Wilson and Tasks Rivers [abundance index]","Cutthroat trout Index of abundance Wilson and Tasks Rivers",NA,"NE Pacific","Oregon","Wilson and Tasks Rivers","Oncorhynchus clarkii","Cutthroat trout",36,"abundance index","OR Native Fish Status Report Vol II",1.04179457070847,0.160861086338111,-0.0448154336665374,0.0250432616859025,0.0409447748625744,-1.82721410421489,-3.68715048221154,0.125283824553739,0.031582554608908,0.0830574448519291,0.00361515304355586,0.120257705382876,0.196334336214323,0.144356317835026,-0.127872878518467,0.0382420111853916
"Dusky shark Northwest Atlantic & GOM [cpue (standardized, lps)]","Dusky shark StandardizedCPUE_LPS North West Atlantic_and_GOM",NA,"NW Atlantic","NW Atlantic Coast & Gulf of Maine","Northwest Atlantic & GOM","Carcharhinus obscurus","Dusky shark",21,"cpue (standardized, lps)","Morgan 2008",0.590439268474246,0.326177621157531,-0.0448154336162525,0.216003404377812,-0.526888496264305,-1.12031319581592,-1.53246111041379,0.157272137707631,0.232262036483372,0.0830574448584463,0.0265883510328112,0.266364630716446,0.712072261914002,0.123092277686075,-0.127872878474699,0.0382420112421938
"Dusky shark Northwest Atlantic & GOM [cpue (standardized, vims)]","Dusky shark StandardizedCPUE_VIMS North West Atlantic_and_GOM",NA,"NW Atlantic","NW Atlantic Coast & Gulf of Maine","Northwest Atlantic & GOM","Carcharhinus obscurus","Dusky shark",30,"cpue (standardized, vims)","Morgan 2008",0.524947016719734,0.644952894786569,-0.0448154332915449,0.23531198029696,-0.644457942017173,-0.438577996191935,-1.44684306955574,0.121620900624437,0.344900877800876,0.0830574448931033,0.0315149566288398,0.231682239827585,0.534769098005231,0.133928398329182,-0.127872878184648,0.0382420116015585
"Elegant tern Isla Rasa [breeding pairs]","Elegant Tern Breeding Pairs Isla Rasa",NA,"NE Pacific","Gulf of California","Isla Rasa","Thalasseus elegans","Elegant tern",35,"breeding pairs","Velarde et al. 2015",20.769266835592,0.339748385110126,-0.0448154337879452,0.0453513705800326,3.03347433806383,-1.07954997913326,-3.09331488060573,93.4710181725544,0.0580559279856846,0.083057444643895,0.00617702255849977,4.5004486153731,0.170879187451815,0.136203657783595,-0.12787287843184,0.0382420108559498
