"outfile","dataset","framework","covariate","type","stockid","r","r_se","r_lo","r_hi","k","k_se","k_lo","k_hi","betaT","betaT_se","betaT_lo","betaT_hi","betaT_inf","sigmaP","sigmaP_se","sigmaP_lo","sigmaP_hi"
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","birds","AFPENWCAPE",0.197181301323283,0.162598594233339,0.0391687352534405,0.992640312227798,0.682552218944575,0.200253138594448,0.384059349302857,1.21303525726381,0.139280943958675,0.487359712728366,-0.815944092988923,1.09450598090627,"none",0.116917747110186,0.018966556769448,0.0850736023649182,0.160681565248473
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","fish","ALBANATL",0.122070936152256,0.00416134335237077,0.114181216018603,0.130505821996678,1.13515391189762,0.0255395963956456,1.08618396778356,1.18633163618304,-0.0154629151143641,0.0212453406685838,-0.0571037828247883,0.0261779525960601,"none",0.00597081780658686,0.00054057226442673,0.00499997994263342,0.00713016165834418
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","fish","ALBANPAC",0.278530593776228,0.0487700318872511,0.197618154446778,0.392571683945321,1.05307666685041,0.0554980605249889,0.949729877656937,1.167669347205,0.0839642255925767,0.0734887786781507,-0.0600737806165987,0.228002231801752,"none",0.0218875141962899,0.00355062247445636,0.015926150866797,0.0300802925766293
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","birds","APUFFHERNYKEN",0.237467525402766,0.0857871767037575,0.116975451650474,0.482074014891696,0.527346510317279,0.0561304442903911,0.428048552778613,0.649679435051478,-0.183527414699154,0.220106506697847,-0.614936167826934,0.247881338428626,"none",0.0548244388496025,0.00826509238160408,0.0407988967154941,0.0736715778402982
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","birds","ARCTERFOULA",0.0597713930977844,0.0411850866783204,0.0154870163158116,0.230684811069926,0.253321468561925,0.0750952421921856,0.141688652878166,0.452906885137441,1.54780339057702,0.654298848232192,0.265377648041926,2.83022913311212,"positive",0.115062120600124,0.0156579661247286,0.0881244512463701,0.150234031642187
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","fish","ARFLOUNDPCOAST",0.107622954414058,0.0640247558828931,0.0335364363533342,0.345376598597926,1.58796086543117,0.772112731876557,0.612284487873983,4.11837921763569,0.264911325433555,0.120335508408759,0.0290537289523868,0.500768921914723,"positive",0.0381738111107488,0.00416510287311096,0.0308240813449383,0.0472760189804789
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","fish","BLACKROCKCAL",0.12661232805094,0.0391798092497422,0.0690350052464178,0.23221091324985,2.92048312933506,1.78400921745248,0.882021820262575,9.67008016444717,-0.127561689803796,0.104645786513207,-0.332667431369681,0.0775440517620891,"none",0.0391888620279361,0.0044952692724662,0.031298345296746,0.0490686294270096
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","fish","BLUEFISHATLC",0.218624487041884,0.0365321298369839,0.157565269793501,0.303345187660754,1.57357289325287,0.363484372048888,1.00060260280997,2.47464042510637,-0.0275249566587158,0.0818999323396207,-0.188048824044372,0.132998910726941,"none",0.030694423261237,0.00434084551960285,0.0232637235830112,0.0404985734969782
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","birds","BRACORFIF",0.01960214734943,0.0473970457903653,0.000171435831724281,2.2413294632988,5.05428591032857,1.14827803296653,3.23796869880267,7.8894542966991,1.32075523174913,1.00221442139349,-0.643585034182112,3.28509549768037,"none",0.166855708665831,0.0295002590060816,0.117989946938076,0.235959318881534
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","birds","BRACORFIS",0.29324785437491,0.130593796102556,0.122505976163815,0.701960074017095,0.382430289085333,0.0787819386710387,0.255386919809896,0.572671952497639,-1.38200477229478,0.640231519714484,-2.63685855093517,-0.127150993654393,"negative",0.196265958307808,0.021673942067827,0.158067941582744,0.243694742936332
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","birds","CGANNETWCAPE",0.217413751195766,0.165175589899402,0.0490447360263134,0.963788227622509,0.373971802180235,0.129799430650145,0.189406746183697,0.738383989186393,1.21218581016155,0.28380638155403,0.655925302315656,1.76844631800745,"positive",0.237370963453154,0.0419616404916263,0.167861956941316,0.33566256057873
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","fish","CHTRACCH",0.233652253393032,0.0298776082704096,0.181854072169749,0.30020430592658,1.20477989849729,0.115828808920809,0.997862715406015,1.45460350548577,-0.187120868519089,0.113652024329932,-0.409878836205755,0.035637099167578,"none",0.0276202382546056,0.00436714166434773,0.0202599426215277,0.0376544778774725
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","fish","CMACKPCOAST",0.113070949976582,0.0425768926536998,0.0540536482374142,0.236525010716248,0.317799860851125,0.0940611402201946,0.177915515070486,0.567666914922972,-0.324542685486613,1.23580515389126,-2.74672078711349,2.09763541614026,"none",0.0356985879338958,0.0049505017828071,0.0272024795420554,0.0468482727283691
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","fish","COD3M",0.533002785181181,0.155894206666451,0.300443627975966,0.945574951696505,1.46590873860571,0.448561168418996,0.80470830819949,2.67039423853924,-0.342428924717548,0.327166879029147,-0.983676007614675,0.298818158179579,"none",0.110717930933896,0.0163244628768394,0.0829302312192852,0.147816544703329
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","fish","COD3NO",0.409360958630467,0.239793209605482,0.129862901780744,1.29041005670569,0.840139835134717,0.0646108882779777,0.722584741047672,0.976819606731251,-1.74810701641255,0.745051178615267,-3.20840732649848,-0.287806706326631,"negative",0.157027076895757,0.0213686714435247,0.120264817909541,0.205026734393532
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","fish","COD3Pn4RS",0.176525793438686,0.0280742997069318,0.129250531926008,0.241092669289722,5.0435172109184,1.2699073632558,3.07897033412249,8.26154951053779,0.102681465985373,0.0635088829636472,-0.0217959446233759,0.227158876594121,"none",0.0867339181754688,0.00957842453975308,0.0698530135151741,0.107694316730297
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","fish","COD3Ps",1.17718165498201,0.338378125531654,0.670136214337897,2.06787309680812,0.750996256684622,0.0786261235014344,0.611672481687937,0.922054521723692,-0.0552466534595527,0.262337005403843,-0.569427184051085,0.458933877131979,"none",0.311139133536489,0.0423406590073485,0.2382970630227,0.406247392182988
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","fish","COD4TVn",0.161870603403006,0.0247679332610138,0.119928569653116,0.218480820056811,5.18288420270368,1.27636674609166,3.19849655328353,8.39841100690228,0.211521913036149,0.0831933254681765,0.0484629951185234,0.374580830953775,"positive",0.0900687364357925,0.0100743355179576,0.0723375899626952,0.112146081827219
