"stockid","stocklong","region","area","location","reference","type","class","order","family","species","comm_name","n_units","nprey","prey1","prey1_prop","prey_prop","r","r_se","r_lo","r_hi","k","k_se","k_lo","k_hi","betaT","betaT_se","betaT_lo","betaT_hi","betaT_inf","sigmaP","sigmaP_se","sigmaP_lo","sigmaP_hi"
"ARFLOUNDPCOAST","Arrowtooth flounder Pacific Coast","USA/Canada West","US West Coast","Pacific Coast","RAM","fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes stomias","Arrowtooth flounder","MT",1,"Pacific hake",0.5989,0.5989,0.107622954405537,0.0640247558778971,0.0335364363506341,0.345376598571041,1.5879608655005,0.772112731911158,0.612284487900039,4.11837921782002,0.264911325421569,0.120335508408789,0.0290537289403433,0.500768921902795,"positive",0.038173811110902,0.00416510287312756,0.0308240813450622,0.0472760189806683
"BLACKROCKCAL","Black rockfish California","USA/Canada West","US West Coast","California","RAM","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes melanops","Black rockfish","MT",1,"Northern anchovy",0.419,0.419,0.126612328054048,0.0391798092507049,0.0690350052481113,0.232210913255553,2.92048312920826,1.78400921737518,0.882021820224186,9.67008016402831,-0.127561689792004,0.10464578651321,-0.332667431357896,0.077544051773887,"none",0.0391888620277652,0.00449526927244639,0.0312983452966098,0.049068629426795
"BLUEFISHATLC","Bluefish Atlantic Coast","USA/Canada East","US East Coast","Atlantic Coast","RAM","fish","Actinopterygii","Perciformes","Pomatomidae","Pomatomus saltatrix","Bluefish","MT",5,"Atlantic menhaden",0.125,0.382434210526316,0.20553967544058,0.0341346497389959,0.148433261308874,0.284616519287467,1.64519452043805,0.403934172597231,1.01677134814115,2.66201935668987,-0.0677586963355635,0.0723740628066793,-0.209611859436655,0.074094466765528,"none",0.0298465821088048,0.00391904692343647,0.0230740776658368,0.0386068936959748
"Brandt cormorant South Farallon Island [breeding adults]","Brandt cormorant South Farallon Island [breeding adults]","NE Pacific","California","South Farallon Island","Elliot et al. 2015","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax penicillatus","Brandt cormorant","breeding adults",5,"Northern anchovy",0.199925925925926,0.289092592592593,0.293247854375478,0.130593796102823,0.122505976164041,0.70196007401852,0.382430289085593,0.0787819386711045,0.255386919810054,0.572671952498064,-1.38200477229947,0.640231519714527,-2.63685855093995,-0.127150993659001,"negative",0.19626595830758,0.0216739420678015,0.158067941582562,0.243694742936049
"CHTRACCH","Chilean jack mackerel Chilean EEZ and offshore","Humboldt Current","South America","Chilean EEZ and offshore","RAM","fish","Actinopterygii","Perciformes","Carangidae","Trachurus murphyi","Chilean jack mackerel","MT",1,"Peruvian anchoveta",0.2769546235,0.2769546235,0.233652253394239,0.0298776082705647,0.181854072170687,0.300204305928133,1.20477989849701,0.115828808920782,0.997862715405782,1.45460350548543,-0.187120868510659,0.113652024329931,-0.409878836197324,0.0356370991760061,"none",0.0276202382543177,0.00436714166430255,0.020259942621316,0.0376544778770809
"CMACKPCOAST","Pacific chub mackerel Pacific Coast","USA/Canada West","US West Coast","Pacific Coast","RAM","fish","Actinopterygii","Perciformes","Scombridae","Scomber japonicus","Pacific chub mackerel","MT",1,"Northern anchovy",0.43,0.43,0.11307095005618,0.042576892683668,0.0540536482754707,0.236525010882735,0.317799861106549,0.0940611402957865,0.17791551521349,0.567666915379194,-0.324542664786348,1.23580515389128,-2.74672076641326,2.09763543684057,"none",0.0356985879270468,0.00495050178185693,0.027202479536837,0.0468482727193799
"COD3M","Atlantic cod NAFO 3M","USA/Canada East","Canada East Coast","Flemish Cap","RAM","fish","Actinopterygii","Gadiformes","Gadidae","Gadus morhua","Atlantic cod","MT",4,"Northern shortfin squid",0.292,0.626,0.533002785179562,0.155894206665991,0.300443627975037,0.945574951693682,1.46590873861526,0.448561168421957,0.804708308204689,2.67039423855677,-0.342428924712769,0.327166879029138,-0.98367600760988,0.298818158184341,"none",0.110717930933153,0.0163244628767299,0.0829302312187292,0.147816544702338
"COD3NO","Atlantic cod NAFO 3NO","USA/Canada East","Canada East Coast","Southern Grand Banks","RAM","fish","Actinopterygii","Gadiformes","Gadidae","Gadus morhua","Atlantic cod","MT",4,"Northern shortfin squid",0.292,0.626,0.409360958633249,0.239793209607159,0.129862901781597,1.29041005671475,0.840139835134937,0.06461088827799,0.722584741047869,0.976819606731495,-1.74810701640482,0.745051178615422,-3.20840732649104,-0.287806706318589,"negative",0.157027076895409,0.0213686714434774,0.120264817909274,0.205026734393078
"COD3Pn4RS","Atlantic cod NAFO 3Pn4RS","USA/Canada East","Canada East Coast","Northern Gulf of St. Lawrence","RAM","fish","Actinopterygii","Gadiformes","Gadidae","Gadus morhua","Atlantic cod","MT",4,"Northern shortfin squid",0.292,0.626,0.17633553013621,0.0292530873919585,0.127387734311976,0.244091154900893,5.06173205687166,1.50797939509843,2.82297164547708,9.07594359178633,0.102714166862782,0.0635234358292886,-0.0217917673626236,0.227220101088188,"none",0.0867328959683155,0.00957841164807817,0.0698520324135407,0.107693290848219
"COD3Ps","Atlantic cod NAFO 3Ps","USA/Canada East","Canada East Coast","St. Pierre Bank","RAM","fish","Actinopterygii","Gadiformes","Gadidae","Gadus morhua","Atlantic cod","MT",4,"Northern shortfin squid",0.292,0.626,1.1771816550667,0.338378125555999,0.670136214386109,2.0678730969569,0.750996256683214,0.0786261235012871,0.61167248168679,0.922054521721964,-0.0552466533448503,0.262337005403841,-0.569427183936379,0.458933877246679,"none",0.311139133533064,0.0423406590068808,0.23829706302008,0.406247392178513
