"stockid","stocklong","region","area","location","reference","type","class","order","family","species","comm_name","n_units","nprey","prey1","prey1_prop","prey_prop","r","r_se","r_lo","r_hi","k","k_se","k_lo","k_hi","betaT","betaT_se","betaT_lo","betaT_hi","betaT_inf","sigmaP","sigmaP_se","sigmaP_lo","sigmaP_hi"
"AFPENWCAPE","African penguin W Cape (pairs)","Benguela Current","Benguela Current","W Cape","Crawford et al 2008","birds","Aves","Sphenisciformes","Spheniscidae","Spheniscus demersus","African penguin","pairs",1,"Sardine/anchovy",999,999,0.197181301323283,0.162598594233331,0.0391687352534438,0.992640312227716,0.682552218944575,0.200253138594453,0.384059349302853,1.21303525726382,0.139280943958675,0.487359712728377,-0.815944092988943,1.09450598090629,"none",0.116917747110186,0.0189665567694485,0.0850736023649177,0.160681565248475
"ALBANATL","Albacore tuna North Atlantic","Atlantic Ocean","Atlantic Ocean","Northern Atlantic","RAM","fish","Actinopterygii","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","MT",1,"Northern shortfin squid",0.5195,0.5195,0.122070936152256,0.00416134335237078,0.114181216018603,0.130505821996678,1.13515391189762,0.0255395963956456,1.08618396778356,1.18633163618304,-0.0154629151143641,0.0212453406685837,-0.0571037828247882,0.02617795259606,"none",0.00597081780658686,0.000540572264426742,0.0049999799426334,0.00713016165834421
"ALBANPAC","Albacore tuna North Pacific","Pacific Ocean","Pacific Ocean","North Pacific Ocean","RAM","fish","Actinopterygii","Perciformes","Scombridae","Thunnus alalunga","Albacore tuna","MT",5,"Northern anchovy",0.3575,0.593333333333333,0.274012798703612,0.0505764147424724,0.190834053794655,0.393446622132642,1.05497374387259,0.0599544869543608,0.943771183940318,1.17927906594246,0.0749345066396887,0.0672885766938477,-0.0569511036802528,0.20682011695963,"none",0.0219477683069702,0.00356039697867593,0.0159699939477424,0.0301631005767879
"APUFFHERNYKEN","Atlantic puffin Hernyken (apparently occupied burrows)","Norwegian Sea","Norwegian Sea","Hernyken","Anker-Nilssen and Aarvak 2006","birds","Aves","Charadriiformes","Alcidae","Fratercula arctica","Atlantic puffin","apparently occupied burrows",1,"Herring",999,999,0.237467525402766,0.0857871767037533,0.116975451650478,0.482074014891679,0.527346510317279,0.0561304442903891,0.428048552778615,0.649679435051473,-0.183527414699154,0.220106506697847,-0.614936167826934,0.247881338428626,"none",0.0548244388496025,0.00826509238160437,0.0407988967154937,0.0736715778402989
"ARCTERFOULA","Arctic tern Foula (occupied territory)","Europe","Shetland Islands","Foula","JNCC Data","birds","Aves","Ciconiiformes","Laridae","Sterna paradisaea","Arctic tern","occupied territory",1,"Lesser sand-eel",1,1,0.0597713930977844,0.0411850866783144,0.0154870163158146,0.230684811069881,0.253321468561925,0.0750952421921847,0.141688652878167,0.452906885137439,1.54780339057702,0.654298848232205,0.265377648041902,2.83022913311215,"positive",0.115062120600124,0.0156579661247288,0.0881244512463698,0.150234031642188
"ARFLOUNDPCOAST","Arrowtooth flounder Pacific Coast","USA/Canada West","US West Coast","Pacific Coast","RAM","fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes stomias","Arrowtooth flounder","MT",1,"Pacific hake",0.5989,0.5989,0.107622954414058,0.0640247558829736,0.0335364363532853,0.345376598598432,1.58796086543117,0.772112731877547,0.612284487873232,4.11837921764072,0.264911325433555,0.120335508408798,0.0290537289523119,0.500768921914798,"positive",0.0381738111107488,0.00416510287311096,0.0308240813449383,0.0472760189804789
"BLACKROCKCAL","Black rockfish California","USA/Canada West","US West Coast","California","RAM","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes melanops","Black rockfish","MT",1,"Northern anchovy",0.419,0.419,0.12661232805094,0.0391798092497493,0.0690350052464101,0.232210913249875,2.92048312933507,1.78400921745284,0.882021820262367,9.67008016444947,-0.127561689803796,0.104645786513205,-0.332667431369679,0.0775440517620868,"none",0.0391888620279361,0.004495269272466,0.0312983452967463,0.0490686294270091
"BLKVEDOY","Black-legged kittiwake Vedoy (occupied nests)","Norwegian Sea","Norwegian Sea","Vedoy","Anker-Nilssen and Aarvak 2006","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Black-legged kittiwake","occupied nests",1,"Herring",999,999,0.00641822639449245,0.0482554792592073,2.55583480451737e-09,16117.4853625716,0.0865192427327494,0.787423969588247,1.54904377880014e-09,4832387.22203618,-1.23719960477067,1.2498667322421,-3.6869383999652,1.21253919042385,"none",0.0552973794491512,0.008336390835946,0.0411508465953798,0.0743071024518538
"BLUEFISHATLC","Bluefish Atlantic Coast","USA/Canada East","US East Coast","Atlantic Coast","RAM","fish","Actinopterygii","Perciformes","Pomatomidae","Pomatomus saltatrix","Bluefish","MT",5,"Atlantic menhaden",0.125,0.382434210526316,0.205539675432175,0.0341346497375965,0.14843326130281,0.284616519275819,1.64519452054971,0.403934172624579,1.01677134821024,2.66201935687033,-0.0677586963435809,0.0723740628066794,-0.209611859444672,0.0740944667575107,"none",0.0298465821091691,0.00391904692348443,0.0230740776661183,0.0386068936964463
"BRACORFIF","Brandt cormorant Gulf of Farallon Islands [nests (total)]","NE Pacific","California","Gulf of Farallon Islands","Capitolo et al. 2014","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax penicillatus","Brandt cormorant","nests (total)",5,"Northern anchovy",0.199925925925926,0.289092592592593,0.019609203418034,0.0474038327906359,0.000171673750796266,2.2398349014123,5.05151617980115,1.11911936964152,3.27221628873464,7.79832794141505,1.32066822615174,1.00205599502262,-0.643361524092595,3.28469797639608,"none",0.166856891100345,0.0295002737410076,0.117991052408788,0.235960452418158
"BRACORFIS","Brandt cormorant South Farallon Island [breeding adults]","NE Pacific","California","South Farallon Island","Elliot et al. 2015","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax penicillatus","Brandt cormorant","breeding adults",5,"Northern anchovy",0.199925925925926,0.289092592592593,0.29324785437491,0.130593796102538,0.12250597616383,0.70196007401701,0.382430289085333,0.078781938671041,0.255386919809893,0.572671952497645,-1.38200477229478,0.64023151971447,-2.63685855093514,-0.127150993654421,"negative",0.196265958307808,0.0216739420678274,0.158067941582744,0.243694742936333
"CGANNETWCAPE","Cape gannet W Cape (pairs)","Benguela Current","Benguela Current","W Cape","Crawford et al 2008","birds","Aves","Suliformes","Sulidae","Morus capensis","Cape gannet","pairs",1,"Sardine/anchovy",999,999,0.217413751195766,0.165175589899399,0.0490447360263145,0.963788227622487,0.373971802180235,0.129799430650145,0.189406746183697,0.738383989186392,1.21218581016155,0.283806381554039,0.655925302315638,1.76844631800747,"positive",0.237370963453154,0.0419616404916285,0.167861956941313,0.335662560578736
"CHTRACCH","Chilean jack mackerel Chilean EEZ and offshore","Humboldt Current","South America","Chilean EEZ and offshore","RAM","fish","Actinopterygii","Perciformes","Carangidae","Trachurus murphyi","Chilean jack mackerel","MT",1,"Peruvian anchoveta",0.2769546235,0.2769546235,0.233652253393032,0.0298776082704095,0.181854072169749,0.30020430592658,1.20477989849729,0.115828808920803,0.997862715406025,1.45460350548576,-0.187120868519089,0.113652024329932,-0.409878836205756,0.0356370991675786,"none",0.0276202382546056,0.0043671416643479,0.0202599426215275,0.037654477877473
"CMACKPCOAST","Pacific chub mackerel Pacific Coast","USA/Canada West","US West Coast","Pacific Coast","RAM","fish","Actinopterygii","Perciformes","Scombridae","Scomber japonicus","Pacific chub mackerel","MT",1,"Northern anchovy",0.43,0.43,0.113070949976583,0.0425768926536949,0.0540536482374194,0.236525010716228,0.317799860851127,0.0940611402201774,0.177915515070507,0.567666914922913,-0.324542685486565,1.23580515389126,-2.74672078711344,2.0976354161403,"none",0.0356985879338958,0.0049505017828072,0.0272024795420553,0.0468482727283693
"COD3M","Atlantic cod NAFO 3M","USA/Canada East","Canada East Coast","Flemish Cap","RAM","fish","Actinopterygii","Gadiformes","Gadidae","Gadus morhua","Atlantic cod","MT",4,"Northern shortfin squid",0.292,0.626,0.533002785181181,0.155894206666453,0.300443627975963,0.945574951696515,1.46590873860571,0.448561168419013,0.804708308199471,2.6703942385393,-0.342428924717548,0.327166879029131,-0.983676007614645,0.29881815817955,"none",0.110717930933896,0.0163244628768399,0.0829302312192843,0.147816544703331
"COD3NO","Atlantic cod NAFO 3NO","USA/Canada East","Canada East Coast","Southern Grand Banks","RAM","fish","Actinopterygii","Gadiformes","Gadidae","Gadus morhua","Atlantic cod","MT",4,"Northern shortfin squid",0.292,0.626,0.409360958630467,0.239793209605481,0.129862901780744,1.29041005670569,0.840139835134717,0.0646108882779737,0.722584741047679,0.976819606731242,-1.74810701641255,0.745051178615308,-3.20840732649856,-0.287806706326551,"negative",0.157027076895757,0.0213686714435247,0.120264817909541,0.205026734393532
"COD3Pn4RS","Atlantic cod NAFO 3Pn4RS","USA/Canada East","Canada East Coast","Northern Gulf of St. Lawrence","RAM","fish","Actinopterygii","Gadiformes","Gadidae","Gadus morhua","Atlantic cod","MT",4,"Northern shortfin squid",0.292,0.626,0.176554094459716,0.0278924261671538,0.129538995378709,0.240632932032247,5.04081967318314,1.23078212037338,3.12367140078494,8.13461459843857,0.102676603664179,0.0635066925223927,-0.0217965136797105,0.227149721008069,"none",0.0867340707538354,0.00957842610956851,0.0698531605175099,0.107694468994651
"COD3Ps","Atlantic cod NAFO 3Ps","USA/Canada East","Canada East Coast","St. Pierre Bank","RAM","fish","Actinopterygii","Gadiformes","Gadidae","Gadus morhua","Atlantic cod","MT",4,"Northern shortfin squid",0.292,0.626,1.17718165498201,0.338378125531644,0.670136214337909,2.06787309680809,0.750996256684622,0.0786261235014345,0.611672481687937,0.922054521723693,-0.0552466534595527,0.262337005403846,-0.56942718405109,0.458933877131985,"none",0.311139133536489,0.0423406590073468,0.238297063022702,0.406247392182984
"COD4TVn","Atlantic cod NAFO 4TVn","USA/Canada East","Canada East Coast","Southern Gulf of St. Lawrence","RAM","fish","Actinopterygii","Gadiformes","Gadidae","Gadus morhua","Atlantic cod","MT",4,"Northern shortfin squid",0.292,0.626,0.161963869098221,0.0246598277056195,0.12017550937694,0.218283201205215,5.17163854732654,1.23626750357518,3.2370304503041,8.26246328998268,0.211462526625446,0.0831821491366096,0.0484255143176909,0.374499538933201,"positive",0.0900713517021994,0.010074407478826,0.0723400375783169,0.112148799876944
