stockid,stocklong,region,area,location,reference,type,class,order,family,species,comm_name,n_units,nprey,prey_prop,prey1,prey1_prop,prey_impt,prey_impt_prop,long_dd,lat_dd
AFPENWCAPE,African penguin W Cape (pairs),Benguela Current,Benguela Current,W Cape,Crawford et al 2008,birds,Aves,Sphenisciformes,Spheniscidae,Spheniscus demersus,African penguin,pairs,1,0.86,Sardine/anchovy,0.86,Sardine/anchovy,0.86,17.639235,-33.916698
ALBANATL,Albacore tuna North Atlantic,Atlantic Ocean,Atlantic Ocean,Northern Atlantic,RAM,fish,Actinopterygii,Perciformes,Scombridae,Thunnus alalunga,Albacore tuna,MT,1,0.5195,Northern shortfin squid,0.5195,Northern shortfin squid,0.5195,-22.60445843,48.72759957
ALBANPAC,Albacore tuna North Pacific,Pacific Ocean,Pacific Ocean,North Pacific Ocean,RAM,fish,Actinopterygii,Perciformes,Scombridae,Thunnus alalunga,Albacore tuna,MT,5,0.406666667,Northern anchovy,0.270666667,Northern anchovy,0.270666667,-145.2833584,24.74631391
APUFFHERNYKEN,Atlantic puffin Hernyken (apparently occupied burrows),Norwegian Sea,Norwegian Sea,Hernyken,Anker-Nilssen and Aarvak 2006,birds,Aves,Charadriiformes,Alcidae,Fratercula arctica,Atlantic puffin,apparently occupied burrows,1,0.56,Herring,0.56,Herring,0.56,11.944287,67.423948
ARCTERFOULA,Arctic tern Foula (occupied territory),Europe,Shetland Islands,Foula,JNCC Data,birds,Aves,Ciconiiformes,Laridae,Sterna paradisaea,Arctic tern,occupied territory,2,1.75,Lesser sand-eel,1,"Lesser sand-eel, Lesser sand-eel",1.75,-1.970938,60.129056
ARFLOUNDPCOAST,Arrowtooth flounder Pacific Coast,USA/Canada West,US West Coast,Pacific Coast,RAM,fish,Actinopterygii,Pleuronectiformes,Pleuronectidae,Atheresthes stomias,Arrowtooth flounder,MT,1,0.5989,Pacific hake,0.5989,Pacific hake,0.5989,-124.5679201,40.27264218
BLACKROCKCAL,Black rockfish California,USA/Canada West,US West Coast,California,RAM,fish,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes melanops,Black rockfish,MT,1,0.419,Northern anchovy,0.419,Northern anchovy,0.419,-122.848102,37.730857
BLUEFISHATLC,Bluefish Atlantic Coast,USA/Canada East,US East Coast,Atlantic Coast,RAM,fish,Actinopterygii,Perciformes,Pomatomidae,Pomatomus saltatrix,Bluefish,MT,5,0.382434211,Atlantic menhaden,0.125,"Atlantic menhaden, Longfin inshore squid",0.226684211,-76.1216086,33.71666181
BRACORFIF,Brandt cormorant Gulf of Farallon Islands [nests (total)],NE Pacific,California,Gulf of Farallon Islands,Capitolo et al. 2014,birds,Aves,Ciconiiformes,Phalacrocoracidae,Phalacrocorax penicillatus,Brandt cormorant,nests (total),5,0.289092593,Northern anchovy,0.199925926,Northern anchovy,0.199925926,-122.931124,37.842653
BRACORFIS,Brandt cormorant South Farallon Island [breeding adults],NE Pacific,California,South Farallon Island,Elliot et al. 2015,birds,Aves,Ciconiiformes,Phalacrocoracidae,Phalacrocorax penicillatus,Brandt cormorant,breeding adults,5,0.289092593,Northern anchovy,0.199925926,Northern anchovy,0.199925926,-122.981373,37.697365
CGANNETWCAPE,Cape gannet W Cape (pairs),Benguela Current,Benguela Current,W Cape,Crawford et al 2008,birds,Aves,Suliformes,Sulidae,Morus capensis,Cape gannet,pairs,1,0.61,Sardine/anchovy,0.61,Sardine/anchovy,0.61,17.639235,-33.916698
CHTRACCH,Chilean jack mackerel Chilean EEZ and offshore,Humboldt Current,South America,Chilean EEZ and offshore,RAM,fish,Actinopterygii,Perciformes,Carangidae,Trachurus murphyi,Chilean jack mackerel,MT,1,0.276954624,Peruvian anchoveta,0.276954624,Peruvian anchoveta,0.276954624,-75.6430531,-40.93236538
CMACKPCOAST,Pacific chub mackerel Pacific Coast,USA/Canada West,US West Coast,Pacific Coast,RAM,fish,Actinopterygii,Perciformes,Scombridae,Scomber japonicus,Pacific chub mackerel,MT,1,0.43,Northern anchovy,0.43,Northern anchovy,0.43,-126.3062789,45.02272707
COD3M,Atlantic cod NAFO 3M,USA/Canada East,Canada East Coast,Flemish Cap,RAM,fish,Actinopterygii,Gadiformes,Gadidae,Gadus morhua,Atlantic cod,MT,4,0.626,Northern shortfin squid,0.292,"Atlantic herring, Atlantic mackerel, Northern shortfin squid",0.557,-44.25,44.125
COD3NO,Atlantic cod NAFO 3NO,USA/Canada East,Canada East Coast,Southern Grand Banks,RAM,fish,Actinopterygii,Gadiformes,Gadidae,Gadus morhua,Atlantic cod,MT,4,0.626,Northern shortfin squid,0.292,"Atlantic herring, Atlantic mackerel, Northern shortfin squid",0.557,-50.00763832,42.92241276
COD3Pn4RS,Atlantic cod NAFO 3Pn4RS,USA/Canada East,Canada East Coast,Northern Gulf of St. Lawrence,RAM,fish,Actinopterygii,Gadiformes,Gadidae,Gadus morhua,Atlantic cod,MT,4,0.626,Northern shortfin squid,0.292,"Atlantic herring, Atlantic mackerel, Northern shortfin squid",0.557,-60.88187843,49.54197469
COD3Ps,Atlantic cod NAFO 3Ps,USA/Canada East,Canada East Coast,St. Pierre Bank,RAM,fish,Actinopterygii,Gadiformes,Gadidae,Gadus morhua,Atlantic cod,MT,4,0.626,Northern shortfin squid,0.292,"Atlantic herring, Atlantic mackerel, Northern shortfin squid",0.557,-55.98650669,46.01572251
COD4TVn,Atlantic cod NAFO 4TVn,USA/Canada East,Canada East Coast,Southern Gulf of St. Lawrence,RAM,fish,Actinopterygii,Gadiformes,Gadidae,Gadus morhua,Atlantic cod,MT,4,0.626,Northern shortfin squid,0.292,"Atlantic herring, Atlantic mackerel, Northern shortfin squid",0.557,-63.70755937,47.58229309
COMGUIFIUU,"Common guillemot UU Colony, Farallons Island [population index]",NE Pacific,California,"UU Colony, Farallons Island",Lee et al. 2008,birds,Aves,Charadriiformes,Alcidae,Uria aalge,Common guillemot,population index,3,0.921071429,Pacific hake,0.5425,"California market squid, Northern anchovy, Pacific hake",0.921071429,-122.981373,37.697365
GSEALSABLEISL,Grey seal Sable Islands [pup production],NW Atlantic,NW Atlantic,Sable Islands,Bowen et al. 2003,mammals,Mammalia,Carnivora,Phocidae,Halichoerus grypus,Grey seal,pup production,3,0.273266667,Atlantic mackerel,0.162666667,Atlantic mackerel,0.162666667,-59.914628,43.963455
GUACORPERU,Guanay cormorant Peru (number of adults),Humboldt,Peru,Peru,IMARPE.Renato,birds,Aves,Ciconiiformes,Phalacrocoracidae,Phalacrocorax bougainvillii,Guanay cormorant,number of adults,2,1.030828571,Peruvian anchoveta,0.695828571,"Peruvian anchoveta, Peruvian anchoveta",1.030828571,-78.424705,-10.705624
HAKENRTN,Hake Northeast Atlantic North,Europe,European Union,IIIa-IV-VI-VII-VIIIabd,RAM,fish,Actinopterygii,Gadiformes,Merlucciidae,Merluccius merluccius,European hake,MT,1,0.309,Blue whiting,0.309,Blue whiting,0.309,-5.697268124,54.11096946
HAKESOTH,Hake Northeast Atlantic South,Europe,European Union,VIIIc-IXa,RAM,fish,Actinopterygii,Gadiformes,Merlucciidae,Merluccius merluccius,European hake,MT,1,0.309,Blue whiting,0.309,Blue whiting,0.309,-9.947532,40.878975
HMACKIIa-IVa-Vb-VIa-VII-VIII,Horse mackerel IIa-IVa-Vb-VIa-VII-VIII,Europe,European Union,IIa-IVa-Vb-VIa-VII-VIII,RAM,fish,Actinopterygii,Perciformes,Carangidae,Trachurus trachurus,Horse mackerel,MT,1,0.229,Norway pout,0.229,Norway pout,0.229,3.601619,62.418777
MACKNEICES,Mackerel ICES Northeast Atlantic,Europe,European Union,IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa,RAM,fish,Actinopterygii,Perciformes,Scombridae,Scomber scombrus,Atlantic mackerel,MT,3,0.2794,Sandeel spp.,0.1899,Sandeel spp.,0.1899,-14.67843899,64.07129986
MONKSGBMATL,Monkfish Southern Georges Bank / Mid-Atlantic,USA/Canada East,US East Coast,Southern Georges Bank / Mid-Atlantic,RAM,fish,Actinopterygii,Lophiiformes,Lophiidae,Lophius americanus,Goosefish,MT,4,0.32755,Northern shortfin squid,0.24675,Northern shortfin squid,0.24675,-72.23884719,39.33201948
NFURSTGEORGE,Northern fur seal St. George,Bering Sea,Pribolof Islands,St. George,Towell et al 2016 Figure 2,mammals,Mammalia,Carnivora,Otariidae,Callorhinus ursinus,Northern fur seal,# of males (harem males + idle males),2,0.930191258,Walleye pollock,0.573704203,"Armhook squid, Walleye pollock",0.930191258,-169.542565,56.628299
NFURSTPAUL,Northern fur seal St. Paul,Bering Sea,Pribolof Islands,St. Paul,Towell et al 2016 Figure 2,mammals,Mammalia,Carnivora,Otariidae,Callorhinus ursinus,Northern fur seal,# of males (harem males + idle males),2,0.930191258,Walleye pollock,0.573704203,"Armhook squid, Walleye pollock",0.930191258,-170.382083,57.109011
PACBTUNA,Pacific bluefin tuna Pacific Ocean,Pacific Ocean,Pacific Ocean,Pacific Ocean,RAM,fish,Actinopterygii,Perciformes,Scombridae,Thunnus orientalis,Pacific bluefin tuna,MT,3,0.8158,Northern anchovy,0.7999,Northern anchovy,0.7999,-132.921797,-5.158571731
PERBOOPERU,Peruvian booby Peru (number of adults),Humboldt,Peru,Peru,IMARPE.Renato,birds,Aves,Ciconiiformes,Sulidae,Sula variegata,Peruvian booby,number of adults,1,0.795671429,Peruvian anchoveta,0.795671429,Peruvian anchoveta,0.795671429,-78.424705,-10.705624
PERPELPERU,Peruvian pelican Peru (number of adults),Humboldt,Peru,Peru,IMARPE.Renato,birds,Aves,Ciconiiformes,Pelecanidae,Pelecanus thagus,Peruvian pelican,number of adults,1,0.8,Peruvian anchoveta,0.8,Peruvian anchoveta,0.8,-78.424705,-10.705624
PHSEALJFUCA,Pacific harbor seal Juan de la Fuca [abundance (total est.)],NE Pacific,Washington,Juan de la Fuca,Jeffries et al. 2003,mammals,Mammalia,Carnivora,Phocidae,Phoca vitulina richardsi,Pacific harbor seal,abundance (total est.),5,0.460916667,Pacific hake,0.333,Pacific hake,0.333,-125.246371,48.403427
PHSEALOR,Pacific harbor seal Oregon [abundance (total est.)],NE Pacific,Oregon,Oregon,Brown et al. 2005,mammals,Mammalia,Carnivora,Phocidae,Phoca vitulina richardsi,Pacific harbor seal,abundance (total est.),5,0.460916667,Pacific hake,0.333,Pacific hake,0.333,-124.250063,45.192115
PHSEALSJI,Pacific harbor seal San Juan Islands [abundance (total est.)],NE Pacific,Washington,San Juan Islands,Jeffries et al. 2003,mammals,Mammalia,Carnivora,Phocidae,Phoca vitulina richardsi,Pacific harbor seal,abundance (total est.),5,0.460916667,Pacific hake,0.333,Pacific hake,0.333,-125.246371,48.403427
PHSEALWA,Pacific harbor seal Coastal Estuaries [abundance (total est.)],NE Pacific,Washington,Coastal Estuaries,Jeffries et al. 2003,mammals,Mammalia,Carnivora,Phocidae,Phoca vitulina richardsi,Pacific harbor seal,abundance (total est.),5,0.460916667,Pacific hake,0.333,Pacific hake,0.333,-124.173247,46.189399
POLL5YZ,Pollock NAFO-5YZ,USA/Canada East,US East Coast,Gulf of Maine / Georges Bank,RAM,fish,Actinopterygii,Gadiformes,Gadidae,Pollachius virens,Pollock,MT,4,0.547333333,Longfin inshore squid,0.378,Longfin inshore squid,0.378,-68.84645843,42.67916969
POLLNS-VI-IIIa,"Pollock ICES IIIa, VI and North Sea",Europe,European Union,"IIIa, VI and North Sea",RAM,fish,Actinopterygii,Gadiformes,Gadidae,Pollachius virens,Pollock,MT,4,0.90295,Norway pout,0.34605,"Norway pout, Norway pout, Sandeel spp.",0.88185,2.976895859,57.29147359
SHAKE4VWX,Silver hake Scotian Shelf and Bay of Fundy,USA/Canada East,Canada East Coast,Scotian Shelf and Bay of Fundy,RAM,fish,Actinopterygii,Gadiformes,Merlucciidae,Merluccius bilinearis,Silver hake,MT,4,0.400208333,Atlantic mackerel,0.127833333,"Atlantic mackerel, Northern shortfin squid",0.235333333,-59.59311349,42.08466175
SSTHORNHPCOAST,Shortspine thornyhead Pacific Coast,USA/Canada West,US West Coast,Pacific Coast,RAM,fish,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastolobus alascanus,Shortspine thornyhead,MT,1,0.224633333,Pacific hake,0.224633333,Pacific hake,0.224633333,-121.653434,35.58321429
STMARLINNEPAC,Striped marlin Northeast Pacific,Pacific Ocean,Pacific Ocean,Northeast Pacific,RAM,fish,Actinopterygii,Perciformes,Istiophoridae,Kajikia audax,Striped marlin,MT,3,0.559213333,Pacific chub mackerel,0.26598,"Pacific chub mackerel, Pacific hake, Pacific sardine",0.559213333,-119.5800285,14.4879771
WHAKE4T,White hake Southern Gulf of St. Lawrence,USA/Canada East,Canada East Coast,Southern Gulf of St. Lawrence,RAM,fish,Actinopterygii,Gadiformes,Phycidae,Urophycis tenuis,White hake,MT,4,0.4495,Northern shortfin squid,0.3095,Northern shortfin squid,0.3095,-63.70755937,47.58229309
WHAKEGBGOM,White hake Georges Bank / Gulf of Maine,USA/Canada East,US East Coast,Gulf of Maine / Georges Bank,RAM,fish,Actinopterygii,Gadiformes,Phycidae,Urophycis tenuis,White hake,MT,4,0.4495,Northern shortfin squid,0.3095,Northern shortfin squid,0.3095,-68.92099909,42.8879301
WHITNS-VIId,Whiting NS-VIId,Europe,European Union,IV and VIId,RAM,fish,Actinopterygii,Gadiformes,Gadidae,Merlangius merlangus,Whiting,MT,3,0.50765,Sandeel spp.,0.207025,"European sprat, Norway pout, Sandeel spp.",0.50765,3.033874915,54.65869881
WMARLINATL,White marlin Atlantic,Atlantic Ocean,Atlantic Ocean,Atlantic Ocean,RAM,fish,Actinopterygii,Perciformes,Istiophoridae,Kajikia albida,White marlin,MT,1,0.541,Northern shortfin squid,0.541,Northern shortfin squid,0.541,-22.45219942,7.3944724
YTROCKNPCOAST,Yellowtail rockfish Northern Pacific Coast,USA/Canada West,US West Coast,Northern Pacific Coast,RAM,fish,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes flavidus,Yellowtail rockfish,MT,2,0.246,Pacific hake,0.163,Pacific hake,0.163,-126.3411138,44.28462661
