"model","k","lik","aic","daic"
"PT-45%-Fixed-SST",188,-2101.15763732586,-3826.31527465172,0
"PT-45%-Random-SST",143,-2037.54241427712,-3789.08482855425,37.230446097471
"PT-45%-Random-Group-SST",144,-2037.54240841494,-3787.08481682988,39.2304578218395
"PT-45%-Fixed-Prey1",188,-2076.53392815473,-3777.06785630947,49.2474183422491
"PT-45%-Random-Prey1",143,-2020.37460735666,-3754.74921471331,71.5660599384069
"PT-45%",141,-2018.01579579516,-3754.03159159032,72.2836830614001
"PT-40%",141,-2017.40085022942,-3752.80170045885,73.5135741928702
"PT-45%-Random-Group-Prey1",144,-2020.37460733503,-3752.74921467006,73.566059981662
"PT-37%",141,-2015.14826119236,-3748.29652238473,78.0187522669894
"PT-50%",141,-2014.44979254261,-3746.89958508523,79.4156895664905
