"region","stockid","name","areaname","biomass_type","yrs","nyr","source"
"Europe","ATLHERRROST","Atlantic herring (Clupea harengus)","Rost","Index","1975-2004",29,"Anker-Nilssen and Aavark 2006"
"Europe","HERR2224IIIa","Atlantic herring (Clupea harengus)","22-24-IIIa","SSB","1991-2016",26,"RAM Legacy Database"
"Europe","HERR2529-32","Atlantic herring (Clupea harengus)","Subdivisions 25-29 and 32","SSB","1974-2016",43,"RAM Legacy Database"
"Europe","HERR30","Atlantic herring (Clupea harengus)","Bothnian Sea","SSB","1973-2016",44,"RAM Legacy Database"
"Europe","HERR31","Atlantic herring (Clupea harengus)","Bothnian Bay","SSB","1980-2015",36,"RAM Legacy Database"
"Europe","HERRIsum","Atlantic herring (Clupea harengus)","Iceland Grounds","TB","1987-2015",29,"RAM Legacy Database"
"Europe","HERRNIRS","Atlantic herring (Clupea harengus)","Irish Sea","SSB","1961-2016",56,"RAM Legacy Database"
"Europe","HERRNORSS","Atlantic herring (Clupea harengus)","I-II-IVa-V-XIVa","TB","1988-2015",28,"RAM Legacy Database"
"Europe","HERRNS-IIIa-VIId","Atlantic herring (Clupea harengus)","IIIa, VIId and North Sea","SSB","1947-2016",70,"RAM Legacy Database"
"Europe","HERRRIGA","Atlantic herring (Clupea harengus)","Gulf of Riga East of Gotland","SSB","1977-2016",40,"RAM Legacy Database"
"Europe","HERRSIRS","Atlantic herring (Clupea harengus)","ICES VIIa-g-h-j","SSB","1958-2016",59,"RAM Legacy Database"
"Europe","HERRVIa","Atlantic herring (Clupea harengus)","West of Scotland","TB","1957-2013",57,"RAM Legacy Database"
"Europe","HERRVIaVIIbc","Atlantic herring (Clupea harengus)","VIa, VIIb and VIIc","SSB","1957-2016",60,"RAM Legacy Database"
"Europe","MACKNEICES","Atlantic mackerel (Scomber scombrus)","IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa","SSB","1980-2014",35,"RAM Legacy Database"
"Europe","BWHITNEA","Blue whiting (Micromesistius poutassou)","Northeast Atlantic","SSB","1981-2015",35,"RAM Legacy Database"
"Europe","CAPEIIa-V-XIV","Capelin (Mallotus villosus)","IIa-V-XIV","SSB","1979-2016",38,"RAM Legacy Database"
"Europe","CAPENOR","Capelin (Mallotus villosus)","Barents Sea","TB","1972-2006",35,"RAM Legacy Database"
"Europe","SPRAT22-32","European sprat (Sprattus sprattus)","Baltic Areas 22-32","TB","1974-2016",43,"RAM Legacy Database"
"Europe","SPRATNS","European sprat (Sprattus sprattus)","North Sea","SSB","1974-2016",43,"RAM Legacy Database"
"Europe","SEELNSSA1","Lesser sand-eel (Ammodytes marinus)","Sandeel Area 1","SSB","1983-2016",34,"RAM Legacy Database"
"Europe","SEELNSSA2","Lesser sand-eel (Ammodytes marinus)","Sandeel Area 2","SSB","1983-2016",34,"RAM Legacy Database"
"Europe","SEELNSSA3","Lesser sand-eel (Ammodytes marinus)","Sandeel Area 3","SSB","1983-2016",34,"RAM Legacy Database"
"Europe","SANDEELSA4","Lesser sand-eel (Ammodytes spp.)","Sandeel Area 4","TB","1993-2015",23,"ICES 2016"
"Europe","SANDEELSA7","Lesser sand-eel (Ammodytes spp.)","Sandeel Area 7","TB","1976-2004",29,"Furness 2007"
