"source","stocklong","stockid","dietid","region","area","location","pred_type","class","order","family","species","comm_name","reference","n_units","n_yr","diet_yn","diet_prop","name","nprey","prey1","prey1_prop","prey_prop"
"Hilborn et al. (2017)","Brandt cormorant Gulf of Farallon Islands [nests (total)]",NA,"Brandt cormorant NE Pacific","NE Pacific","California","Gulf of Farallon Islands","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax penicillatus","Brandt cormorant","Capitolo et al. 2014","nests (total)",20,"Y",0.289092592592593,"Brandt cormorant (Phalacrocorax penicillatus)",5,"Northern anchovy",0.199925925925926,0.289092592592593
"Hilborn et al. (2017)","Brandt cormorant South Farallon Island [breeding adults]",NA,"Brandt cormorant NE Pacific","NE Pacific","California","South Farallon Island","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax penicillatus","Brandt cormorant","Elliot et al. 2015","breeding adults",42,"Y",0.289092592592593,"Brandt cormorant (Phalacrocorax penicillatus)",5,"Northern anchovy",0.199925925925926,0.289092592592593
"Hilborn et al. (2017)","California gull Lake Mono [breeding adults]",NA,"California gull NE Pacific","NE Pacific","California","Lake Mono","birds","Aves","Ciconiiformes","Laridae","Larus californicus","California gull","Wrege et al. 2006","breeding adults",21,"Y",0.667,"California gull (Larus californicus)",2,"California market squid",0.5,0.667
"Hilborn et al. (2017)","California sea lion Southern SCB [abundance (total)]",NA,"California sea lion NE Pacific","NE Pacific","California","Southern SCB","mammals","Mammalia","Carnivora","Otariidae","Zalophus californianus","California sea lion","Lowry and Maravilla 2005","abundance (total)",26,"Y",0.311117948717948,"California sea lion (Zalophus californianus)",5,"Northern anchovy",0.107333333333333,0.311117948717948
"Hilborn et al. (2017)","California sea lion Southern SCB [pups]",NA,"California sea lion NE Pacific","NE Pacific","California","Southern SCB","mammals","Mammalia","Carnivora","Otariidae","Zalophus californianus","California sea lion","NOAA 2011","pups",33,"Y",0.311117948717948,"California sea lion (Zalophus californianus)",5,"Northern anchovy",0.107333333333333,0.311117948717948
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]",NA,"Elegant tern NE Pacific","NE Pacific","Gulf of California","Isla Rasa","birds","Aves","Ciconiiformes","Laridae","Thalasseus elegans","Elegant tern","Velarde et al. 2015","breeding pairs",35,"Y",0.517895555555556,"Elegant tern (Thalasseus elegans)",4,"Northern anchovy",0.42809,0.517895555555556
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]",NA,"Elegant tern NE Pacific","NE Pacific","California","San Diego Bay","birds","Aves","Ciconiiformes","Laridae","Thalasseus elegans","Elegant tern","Schaffner 1986, Velarde et al. 2015","breeding pairs",33,"Y",0.517895555555556,"Elegant tern (Thalasseus elegans)",4,"Northern anchovy",0.42809,0.517895555555556
"Hilborn et al. (2017)","Grey seal Sable Islands [pup production]",NA,"Grey seal NW Atlantic","NW Atlantic","NW Atlantic","Sable Islands","mammals","Mammalia","Carnivora","Phocidae","Halichoerus grypus","Grey seal","Bowen et al. 2003","pup production",29,"Y",0.273266666666667,"Grey seal (Halichoerus grypus)",3,"Atlantic mackerel",0.162666666666667,0.273266666666667
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]",NA,"Humpback whale NE Pacific","NE Pacific","CA/OR","CA/OR","mammals","Mammalia","Cetacea","Balaenopteridae","Megaptera novaeangliae","Humpback whale","Calambokidis 2013","abundance (total est.)",21,"Y",0.727,"Humpback whale (Megaptera novaeangliae)",2,"Pacific sardine",0.514,0.727
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]",NA,"Northern fur seal NE Pacific","NE Pacific","California","San Miguel Islands","mammals","Mammalia","Carnivora","Otariidae","Callorhinus ursinus","Northern fur seal","NOAA 2013","pups",38,"Y",0.52135,"Northern fur seal (Callorhinus ursinus)",3,"Northern anchovy",0.32,0.52135
